T[MeV]              p/T⁴                e/T⁴                s/T³                (e-3P)/T⁴           Δ                   cs²                 CV/T³               T[MeV]              μB[MeV]             μQ[MeV]             μS[MeV]             μC[MeV]             ρB/T³               ρQ/T³               ρS/T³               ρC/T³               ntot/T³             p[MeV/fm^3]         e[MeV/fm^3]         (e-3P)[MeV/fm^3]    s[fm^-3]            ntot[fm^-3]         ρB[fm^-3]           ρQ[fm^-3]           ρS[fm^-3]           ρC[fm^-3]           χ₁B                 χ₁Q                 χ₁S                 χ₂B                 χ₂Q                 χ₂S                 χ₁₁BQ               -χ₁₁BS              χ₁₁QS               CBS                 χ₃B                 χ₃Q                 χ₃S                 χ₄B                 χ₄Q                 χ₄S                 χ₁C                 χ₂C                 χ₃C                 χ₄C                 χ₁₁BC               χ₁₁QC               χ₁₁SC               
50                  0.0995477           0.478457            0.578005            0.179814            0.125273            0.225488            2.56335             50                  0                   0                   0                   0                   -1.18383e-32        -4.00035e-28        0                   0                   0.10043             0.0809751           0.389191            0.146266            0.00940333          0.00163385          -1.92593e-34        -6.50801e-30        0                   0                   -3.9443e-31         4.03897e-28         0                   3.34589e-07         0.066655            0.000471458         1.63981e-07         1.08855e-08         0.000243752         6.92672e-05         -3.9443e-31         -3.1027e-25         0                   3.34589e-07         0.0739462           0.000471506         0                   0                   0                   0                   0                   0                   0                   
53                  0.110207            0.516586            0.626793            0.185966            0.119996            0.22992             2.72614             53                  0                   0                   0                   0                   2.54456e-30         -3.23159e-28        0                   0                   0.111338            0.113175            0.530501            0.190975            0.0121448           0.00215731          4.93038e-32         -6.26158e-30        0                   0                   3.15544e-30         1.26213e-27         0                   9.06287e-07         0.0741593           0.000765919         4.39946e-07         3.74606e-08         0.000395146         0.000146728         3.15544e-30         -4.16519e-28        0                   9.06288e-07         0.0836832           0.000766061         0                   0                   0                   0                   0                   0                   0                   
56                  0.120599            0.553278            0.673876            0.191482            0.115362            0.233414            2.88705             56                  0                   0                   0                   0                   0                   -2.19191e-27        0                   0                   0.122009            0.15436             0.708167            0.245088            0.0154023           0.00278867          0                   -5.00988e-29        0                   0                   -2.52435e-29        4.44286e-27         0                   2.20673e-06         0.0815283           0.00117789          1.05983e-06         1.13068e-07         0.00060651          0.000287977         -2.52435e-29        1.65557e-24         0                   2.20673e-06         0.0936218           0.00117826          0                   0                   0                   0                   0                   0                   0                   
59                  0.130728            0.58893             0.719658            0.196747            0.111359            0.236002            3.04937             59                  0                   0                   0                   0                   -1.18049e-28        3.7774e-26          0                   0                   0.132444            0.206165            0.928779            0.310282            0.0192363           0.00354022          -3.15544e-30        1.00969e-27         0                   0                   0                   4.84676e-27         0                   4.91234e-06         0.0887517           0.00172987          2.33153e-06         3.05416e-07         0.00088915          0.000529663         1.00974e-28         1.3245e-23          0                   4.91236e-06         0.103747            0.00173076          0                   0                   0                   0                   0                   0                   0                   
62                  0.140617            0.623959            0.764576            0.20211             0.107972            0.237724            3.21624             62                  0                   0                   0                   0                   0                   1.91251e-26         0                   0                   0.142664            0.270423            1.19995             0.388682            0.0237157           0.00442517          0                   5.93223e-28         0                   0                   -4.03897e-28        1.03398e-25         0                   1.01337e-05         0.0958301           0.0024433           4.74807e-06         7.50366e-07         0.00125376          0.000921333         -4.03897e-28        -8.07794e-27        0                   1.01337e-05         0.114052            0.00244528          0                   0                   0                   0                   0                   0                   0                   
65                  0.1503              0.658788            0.809088            0.207888            0.105187            0.238623            3.39065             65                  0                   0                   0                   0                   1.32425e-27         3.39097e-25         0                   0                   0.1527              0.349183            1.53052             0.482973            0.0289185           0.00545781          4.73317e-29         1.21201e-26         0                   0                   1.00974e-28         1.03297e-25         0                   1.95863e-05         0.102772            0.00333807          9.05024e-06         1.69912e-06         0.00171018          0.00152703          0                   -2.61531e-23        0                   1.95865e-05         0.124536            0.0033422           0                   0                   0                   0                   0                   0                   0                   
68                  0.159822            0.693838            0.85366             0.214372            0.102988            0.238751            3.57552             68                  0                   0                   0                   0                   4.93484e-27         1.25345e-24         0                   0                   0.162593            0.444747            1.93079             0.596546            0.0349343           0.00665378          2.01948e-28         5.12949e-26         0                   0                   6.05845e-27         -8.20718e-25        0                   3.5789e-05          0.109593            0.00443228          1.62932e-05         3.5848e-06          0.0022672           0.00242638          -6.46235e-27        -2.11655e-22        0                   3.57896e-05         0.135203            0.00444043          0                   0                   0                   0                   0                   0                   0                   
71                  0.169233            0.729531            0.898764            0.221833            0.101359            0.23816             3.77377             71                  0                   0                   0                   0                   1.84253e-26         -1.63118e-24        0                   0                   0.17239             0.559704            2.41278             0.733667            0.041866            0.00803024          8.58281e-28         -7.59831e-26        0                   0                   -1.61559e-27        0                   0                   6.22843e-05         0.116313            0.00574228          2.79137e-05         7.11085e-06         0.0029326           0.00371499          -2.58494e-26        -3.24772e-22        0                   6.22864e-05         0.146063            0.00575761          0                   0                   0                   0                   0                   0                   0                   
74                  0.178587            0.766286            0.944874            0.230524            0.100278            0.236909            3.98834             74                  0                   0                   0                   0                   0                   3.92107e-24         0                   0                   0.182146            0.696976            2.9906              0.899672            0.0498321           0.00960625          0                   2.06795e-25         0                   0                   5.16988e-26         8.63047e-24         0                   0.000103878         0.122955            0.00728286          4.57946e-05         1.33621e-05         0.00371316          0.00550419          6.46235e-27         -2.10724e-22        0                   0.000103883         0.157128            0.00731055          0                   0                   0                   0                   0                   0                   0                   
77                  0.187944            0.804526            0.992469            0.240694            0.099725            0.235057            4.22224             77                  0                   0                   0                   0                   0                   -3.48039e-24        0                   0                   0.191914            0.859868            3.68081             1.10121             0.0589698           0.011403            0                   -2.06795e-25        0                   0                   -2.06795e-25        4.74336e-24         0                   0.000166889         0.129545            0.00906761          7.23248e-05         2.39383e-05         0.00461478          0.00791993          1.29247e-26         -4.21035e-22        0                   0.000166903         0.168415            0.00911582          0                   0                   0                   0                   0                   0                   0                   
