T,sT3_target,pred_best,error
130,2.77,1.65012474077,0.295
135,3.13,2.12362733678,0.425
140,3.58,2.69292226684,0.485
145,4.11,3.36524097382,0.535
150,4.7,4.15194750371,0.59
155,5.34,5.06958950023,0.635
160,6,6.10924628928,0.67
165,6.66,7.10840497879,0.695
170,7.32,7.85167299704,0.705
175,7.94,8.40118480374,0.71
180,8.53,8.86051825955,0.705
185,9.08,9.27561706167,0.71
190,9.6,9.66489029476,0.685
195,10.07,10.0363280402,0.675
200,10.5,10.393726003,0.66
205,10.9,10.7390260624,0.64
210,11.27,11.0732777081,0.63
215,11.61,11.3970685686,0.61
220,11.92,11.7107330984,0.6
225,12.21,12.0144619747,0.585
230,12.49,12.3083645178,0.585
235,12.75,12.5925077506,0.585
240,13,12.8669430919,0.58
245,13.24,13.1317257848,0.575
250,13.47,13.3869293214,0.57
255,13.68,13.6326557795,0.57
260,13.89,13.8690424397,0.575
265,14.09,14.0962649326,0.575
270,14.28,14.3145372555,0.57
275,14.46,14.5241091563,0.57
280,14.63,14.7252615147,0.57
285,14.8,14.9183004115,0.57
290,14.95,15.1035505554,0.565
295,15.11,15.281348646,0.56
300,15.25,15.4520371201,0.56
305,15.39,15.6159585875,0.555
310,15.52,15.773451123,0.555
315,15.64,15.9248444748,0.555
320,15.76,16.0704571659,0.55
325,15.88,16.2105944095,0.545
330,15.99,16.3455467335,0.54
335,16.09,16.4755891944,0.54
340,16.19,16.6009810659,0.535
345,16.29,16.7219658938,0.535
350,16.38,16.8387718247,0.53
355,16.47,16.9516121301,0.53
360,16.55,17.0606858623,0.53
365,16.63,17.1661785907,0.53
370,16.71,17.2682631815,0.53
375,16.78,17.3671005904,0.53
380,16.85,17.4628406478,0.53
385,16.92,17.5556228222,0.53
390,16.99,17.6455769507,0.53
395,17.05,17.7328239318,0.53
400,17.12,17.8174763765,0.53
