T_MeV,sT3_target,sT3_pred,err,residual_over_err,phi_u,phi_d,phi_s,Phi,PhiBar,solve_residual
130,2.77,0.556041693709,0.295,-7.50494341115,-1.94572070192,-1.94572070192,-2.61569131081,0.087502235555,0.087502235555,6.20827929355e-16
135,3.13,0.845330000132,0.425,-5.37569411734,-1.92488927251,-1.92488927251,-2.60897367045,0.122504907456,0.122504907456,8.25542205632e-16
140,3.58,1.37420740169,0.485,-4.5480259759,-1.88476179667,-1.88476179667,-2.59595602313,0.180411041528,0.180411041528,4.64963435672e-16
145,4.11,2.38588102254,0.535,-3.22265229431,-1.80305520049,-1.80305520049,-2.56958112141,0.275441808609,0.275441808609,1.63349801121e-16
150,4.7,3.76301888411,0.59,-1.58810358626,-1.67255435648,-1.67255435648,-2.52816231952,0.379803893297,0.379803893297,8.95414789421e-16
155,5.34,5.14708947796,0.635,-0.3037960977,-1.50048881709,-1.50048881709,-2.47545633229,0.462774722141,0.462774722141,1.04062662089e-15
160,6,6.50253338358,0.67,0.750049826233,-1.27068653867,-1.27068653867,-2.40963138393,0.528187407503,0.528187407503,2.00986262724e-15
165,6.66,7.78124727565,0.695,1.61330543259,-0.978027487877,-0.978027487877,-2.33393977976,0.580193392038,0.580193392038,1.31568008351e-11
170,7.32,8.79182739937,0.705,2.08769843882,-0.698091414397,-0.698091414397,-2.26680601568,0.619024575956,0.619024575956,1.53163579666e-12
175,7.94,9.51158906952,0.71,2.21350573172,-0.505859656837,-0.505859656837,-2.2161222845,0.648178978654,0.648178978654,3.32189472551e-14
180,8.53,10.0740594363,0.705,2.19015522885,-0.384668340682,-0.384668340682,-2.17334164401,0.672164856042,0.672164856042,2.46923044024e-14
185,9.08,10.5585238929,0.71,2.08242801817,-0.304832399663,-0.304832399663,-2.13226881269,0.693135907565,0.693135907565,5.41339603449e-14
190,9.6,10.99801582,0.685,2.04089900723,-0.249076907172,-0.249076907172,-2.09022018337,0.711997238944,0.711997238944,4.20024875091e-14
195,10.07,11.4072088573,0.675,1.98105015899,-0.208192173,-0.208192173,-2.04602701331,0.729200118784,0.729200118784,5.24378945605e-15
200,10.5,11.7935012392,0.66,1.95985036247,-0.177042599564,-0.177042599564,-1.99914546256,0.745015209971,0.745015209971,3.36004746599e-14
205,10.9,12.161064165,0.64,1.97041275776,-0.152585593223,-0.152585593223,-1.94932262248,0.759628223124,0.759628223124,1.37746403862e-14
210,11.27,12.5124563611,0.63,1.97215295419,-0.132916251614,-0.132916251614,-1.89646524467,0.773178225596,0.773178225596,7.29313542258e-14
215,11.61,12.8493430714,0.61,2.03170995311,-0.11678461169,-0.11678461169,-1.8405842613,0.785775353209,0.785775353209,5.11077933381e-14
220,11.92,13.1728524174,0.6,2.08808736233,-0.103337452958,-0.103337452958,-1.78176937879,0.797510133017,0.797510133017,2.32532497142e-13
225,12.21,13.4837706012,0.585,2.17738564316,-0.0919726682319,-0.0919726682319,-1.72017590434,0.80845895297,0.80845895297,4.63185786169e-14
230,12.49,13.7826590951,0.585,2.20967366687,-0.0822531820548,-0.0822531820548,-1.65601619863,0.818687556613,0.818687556613,2.5404134801e-13
235,12.75,14.0699308845,0.585,2.25629211025,-0.0738539524575,-0.0738539524575,-1.58955227912,0.828253422043,0.828253422043,1.00801466907e-13
240,13,14.3459033647,0.58,2.32052304255,-0.0665281690874,-0.0665281690874,-1.52108797761,0.837207455596,0.837207455596,8.25711656118e-13
245,13.24,14.6108366593,0.575,2.38406375533,-0.0600850228214,-0.0600850228214,-1.45096004404,0.845595234605,0.845595234605,2.22953878991e-14
250,13.47,14.8649618972,0.57,2.4473015741,-0.0543746871418,-0.0543746871418,-1.37952818264,0.853457937011,0.853457937011,4.87356750001e-13
255,13.68,15.1085019009,0.57,2.50614368573,-0.0492779268556,-0.0492779268556,-1.30716438342,0.860833044894,0.860833044894,3.16844678355e-13
260,13.89,15.3416857324,0.575,2.52467083889,-0.0446987522036,-0.0446987522036,-1.23424212892,0.867754880799,0.867754880799,1.76101570247e-12
265,14.09,15.5647580991,0.575,2.56479669409,-0.0405591222611,-0.0405591222611,-1.1611261329,0.874255019094,0.874255019094,1.7421746806e-12
270,14.28,15.7779844624,0.57,2.62804291643,-0.0367950547773,-0.0367950547773,-1.08816322256,0.880362604034,0.880362604034,1.12010399448e-12
275,14.46,15.9816526613,0.57,2.66956607253,-0.0333537187163,-0.0333537187163,-1.01567483854,0.886104598963,0.886104598963,2.22858923659e-12
280,14.63,16.1760718626,0.57,2.71240677653,-0.0301912251215,-0.0301912251215,-0.94395143635,0.891505985526,0.891505985526,3.56756408635e-12
285,14.8,16.3615696212,0.57,2.7395958267,-0.027270922491,-0.027270922491,-0.873248869678,0.896589927385,0.896589927385,8.60724750385e-13
290,14.95,16.5384877735,0.565,2.81148278488,-0.0245620627353,-0.0245620627353,-0.803786656914,0.901377909182,0.901377909182,5.22652377765e-12
295,15.11,16.7071777773,0.56,2.85210317366,-0.0220387439388,-0.0220387439388,-0.735747897464,0.90588985847,0.90588985847,1.45453367071e-12
300,15.25,16.8679959863,0.56,2.88927854695,-0.0196790633435,-0.0196790633435,-0.669280524737,0.910144255847,0.910144255847,6.60066870473e-12
305,15.39,17.0212992089,0.555,2.93927785394,-0.0174644325677,-0.0174644325677,-0.604499553648,0.914158236654,0.914158236654,8.45965816759e-13
310,15.52,17.1674407762,0.555,2.96836175892,-0.0153790198903,-0.0153790198903,-0.541489992243,0.917947686205,0.917947686205,1.18623625693e-11
315,15.64,17.3067672364,0.555,3.0031842098,-0.0134092933615,-0.0134092933615,-0.480310125962,0.921527329617,0.921527329617,6.69110604497e-12
320,15.76,17.439615712,0.55,3.05384674912,-0.0115436448022,-0.0115436448022,-0.420994936241,0.924910816701,0.924910816701,1.1069151836e-11
325,15.88,17.566311895,0.545,3.09415026609,-0.00977207927411,-0.00977207927411,-0.363559472133,0.92811080208,0.92811080208,3.81783682262e-12
