T_MeV,phi_u,phi_d,phi_s,Phi,PhiBar,dphi_light_dT_MeV
130,-1.95576576708,-1.95576576708,-2.61879003746,0.0591651643422,0.0591651643422,0.00211302427028
132,-1.9509964627,-1.9509964627,-2.61725585843,0.0678914818934,0.0678914818934,0.00268749647939
134,-1.94485456655,-1.94485456655,-2.61527026855,0.0786112041381,0.0786112041381,0.00350672640891
136,-1.93668357863,-1.93668357863,-2.61261891139,0.0922696043326,0.0922696043326,0.00476269302791
138,-1.92521773923,-1.92521773923,-2.6088915552,0.110706101777,0.110706101777,0.00692341927148
140,-1.90748664481,-1.90748664481,-2.60313397197,0.138237372842,0.138237372842,0.0114528538465
142,-1.8742503695,-1.8742503695,-2.59241225237,0.187804907824,0.187804907824,0.0240177916696
144,-1.81080011957,-1.81080011957,-2.57219005055,0.272432561669,0.272432561669,0.0341622309866
146,-1.7480527839,-1.7480527839,-2.55233817439,0.33730789987,0.33730789987,0.0291657442203
148,-1.69140653363,-1.69140653363,-2.53450605479,0.381129237782,0.381129237782,0.0279581973699
150,-1.63490878968,-1.63490878968,-2.51686125946,0.414802824023,0.414802824023,0.0287716118027
152,-1.57558524309,-1.57558524309,-2.49855115798,0.442673322833,0.442673322833,0.0307043706762
154,-1.51154776703,-1.51154776703,-2.47909902236,0.466764041959,0.466764041959,0.033457750949
156,-1.44128495685,-1.44128495685,-2.45818873299,0.488173154326,0.488173154326,0.0369155143373
158,-1.363480501,-1.363480501,-2.43561586424,0.507553784573,0.507553784573,0.0409774228022
160,-1.27711000912,-1.27711000912,-2.41131592412,0.525306554964,0.525306554964,0.045428073939
162,-1.18182662676,-1.18182662676,-2.38545091704,0.541663882918,0.541663882918,0.0497763220086
164,-1.07866868021,-1.07866868021,-2.35852888088,0.556732372327,0.556732372327,0.0531165714098
166,-0.970832744674,-0.970832744674,-2.33145994212,0.570532664875,0.570532664875,0.0542599097969
168,-0.863660077793,-0.863660077793,-2.3053791198,0.58306328577,0.58306328577,0.0523989456929
170,-0.763052481771,-0.763052481771,-2.28121196147,0.594375076095,0.594375076095,0.0478496661652
172,-0.673216627705,-0.673216627705,-2.25931600352,0.604600994358,0.604600994358,0.0418659158529
174,-0.595680603217,-0.595680603217,-2.23950739924,0.613922098274,0.613922098274,0.0357241215233
176,-0.52991635797,-0.52991635797,-2.22133369325,0.622516344168,0.622516344168,0.0301710830721
178,-0.47442805484,-0.47442805484,-2.20430900021,0.630530430806,0.630530430806,0.0254618171883
180,-0.427512889809,-0.427512889809,-2.18802104058,0.638075404188,0.638075404188,0.0215838539938
182,-0.387613556289,-0.387613556289,-2.17215272719,0.645232763803,0.645232763803,0.0184240978008
184,-0.353425643709,-0.353425643709,-2.15646985059,0.652062306825,0.652062306825,0.015851141106
186,-0.323897211134,-0.323897211134,-2.14080154765,0.658608597524,0.658608597524,0.013746589559
188,-0.298192328342,-0.298192328342,-2.12502296387,0.664905613715,0.664905613715,0.0120131615821
190,-0.275648790266,-0.275648790266,-2.10904209359,0.670979916826,0.670979916826,0.0105739639227
