T,sT3_target,sT3_pred,err
130,2.77,0.908202,0.295
135,3.13,1.13212,0.425
140,3.58,1.40273,0.485
145,4.11,1.72942,0.535
150,4.7,2.12369,0.59
155,5.34,2.60027,0.635
160,6,3.17879,0.67
165,6.66,3.88203,0.695
170,7.32,4.69921,0.705
175,7.94,5.46367,0.71
180,8.53,6.01523,0.705
185,9.08,6.42727,0.71
190,9.6,6.77689,0.685
195,10.07,7.09649,0.675
200,10.5,7.3991,0.66
205,10.9,7.69034,0.64
210,11.27,7.97285,0.63
215,11.61,8.24787,0.61
220,11.92,8.51603,0.6
225,12.21,8.77758,0.585
230,12.49,9.03262,0.585
235,12.75,9.28114,0.585
240,13,9.52307,0.58
245,13.24,9.75835,0.575
250,13.47,9.98688,0.57
255,13.68,10.2086,0.57
260,13.89,10.4235,0.575
265,14.09,10.6315,0.575
270,14.28,10.8327,0.57
275,14.46,11.0271,0.57
280,14.63,11.2148,0.57
285,14.8,11.396,0.57
290,14.95,11.5708,0.565
295,15.11,11.7395,0.56
300,15.25,11.9022,0.56
305,15.39,12.0591,0.555
310,15.52,12.2106,0.555
315,15.64,12.3568,0.555
320,15.76,12.498,0.55
325,15.88,12.6344,0.545
330,15.99,12.7663,0.54
335,16.09,12.8938,0.54
340,16.19,13.0173,0.535
345,16.29,13.1369,0.535
350,16.38,13.2527,0.53
355,16.47,13.3651,0.53
360,16.55,13.4741,0.53
365,16.63,13.5799,0.53
370,16.71,13.6827,0.53
375,16.78,13.7827,0.53
380,16.85,13.8798,0.53
385,16.92,13.9744,0.53
390,16.99,14.0664,0.53
395,17.05,14.156,0.53
400,17.12,14.2433,0.53
