T_MeV,phi_u,phi_d,phi_s,dphi_u_dT_MeV,dphi_d_dT_MeV,dphi_s_dT_MeV,residual
50,-1.97644002227,-1.97644002227,-2.62516195051,8.50541405688e-07,8.50541405688e-07,1.7929970457e-07,4.44089216468e-16
51,-1.97643905204,-1.97643905204,-2.62516174557,1.09895921621e-06,1.09895921621e-06,2.32548415121e-07,4.44089290914e-16
52,-1.97643780457,-1.97643780457,-2.62516148105,1.40676927184e-06,1.40676927184e-06,2.98869634829e-07,1.25607397221e-15
53,-1.97643621502,-1.97643621502,-2.62516114263,1.78507718934e-06,1.78507718934e-06,3.80820777795e-07,6.28036984643e-16
54,-1.97643420673,-1.97643420673,-2.62516071323,2.24648684241e-06,2.24648684241e-06,4.81335371462e-07,7.69185384021e-16
55,-1.97643168963,-1.97643168963,-2.62516017266,2.80522260442e-06,2.80522260442e-06,6.03760585166e-07,1.25607399561e-15
56,-1.97642855854,-1.97642855854,-2.62515949714,3.47725479895e-06,3.47725479895e-06,7.51896845797e-07,1.33226773764e-15
57,-1.97642469143,-1.97642469143,-2.62515865887,4.28042840952e-06,4.28042840952e-06,9.30039608146e-07,7.69185624717e-16
58,-1.97641994738,-1.97641994738,-2.62515762546,5.23459518371e-06,5.23459518371e-06,1.14302335975e-06,1.47287792897e-15
59,-1.9764141646,-1.9764141646,-2.62515635941,6.3617493528e-06,6.3617493528e-06,1.39626795362e-06,1.33226794719e-15
60,-1.97640715815,-1.97640715815,-2.62515481749,7.68616727618e-06,7.68616727618e-06,1.69582737716e-06,1.08779327196e-15
61,-1.97639871764,-1.97639871764,-2.62515295008,9.2345514096e-06,9.2345514096e-06,2.04844108207e-06,1.25607490279e-15
62,-1.97638860467,-1.97638860467,-2.62515070044,1.10361790875e-05,1.10361790875e-05,2.46158801801e-06,6.28044470213e-16
63,-1.97637655023,-1.97637655023,-2.62514800398,1.31230567019e-05,1.31230567019e-05,2.94354353298e-06,1.83103139948e-15
64,-1.97636225187,-1.97636225187,-2.62514478738,1.55300799553e-05,1.55300799553e-05,3.50343932451e-06,1.25608029326e-15
65,-1.97634537074,-1.97634537074,-2.62514096778,1.8295200959e-05,1.8295200959e-05,4.15132665025e-06,8.88207655091e-16
66,-1.97632552841,-1.97632552841,-2.62513645173,2.14596030472e-05,2.14596030472e-05,4.89824303155e-06,1.0878211841e-15
67,-1.97630230361,-1.97630230361,-2.62513113426,2.50678842756e-05,2.50678842756e-05,5.75628271231e-06,1.08784491371e-15
68,-1.97627522866,-1.97627522866,-2.62512489773,2.91682506753e-05,2.91682506753e-05,6.73867116486e-06,1.8841570934e-15
69,-1.97624378579,-1.97624378579,-2.62511761067,3.38127204354e-05,3.38127204354e-05,7.85984396755e-06,1.33235942358e-15
70,-1.97620740322,-1.97620740322,-2.62510912655,3.90573402958e-05,3.90573402958e-05,9.13553041275e-06,7.69337882719e-16
71,-1.97616545101,-1.97616545101,-2.62509928242,4.49624155366e-05,4.49624155366e-05,1.05828422407e-05,1.33239894848e-15
72,-1.97611723668,-1.97611723668,-2.62508789748,5.15927550627e-05,5.15927550627e-05,1.22203679327e-05,2.30763868407e-15
73,-1.9760620006,-1.9760620006,-2.62507477158,5.90179331915e-05,5.90179331915e-05,1.40682730377e-05,7.69519745998e-16
