T_MeV,phi_u,phi_d,phi_s,dphi_u_dT_MeV,dphi_d_dT_MeV,dphi_s_dT_MeV,residual
156,-1.23036868309,-1.23036868309,-2.40190113469,0.0507381254415,0.0507381254415,0.0135721164707,8.00593208497e-16
156.05,-1.2278279149,-1.2278279149,-2.4012218515,0.0508925265105,0.0508925265105,0.0135991715425,4.71027737605e-16
156.1,-1.22527943825,-1.22527943825,-2.40054122154,0.0510464591915,0.0510464591915,0.0136259865543,7.52989890787e-16
156.15,-1.22272327722,-1.22272327722,-2.39985925695,0.0511998975398,0.0511998975398,0.0136525555123,5.43895982204e-16
156.2,-1.22015945717,-1.22015945717,-2.39917597019,0.0513528152068,0.0513528152068,0.0136788723747,6.70743792374e-16
156.25,-1.21758800482,-1.21758800482,-2.39849137401,0.0515051854423,0.0515051854423,0.0137049310532,9.28879225242e-16
156.3,-1.2150089482,-1.2150089482,-2.39780548149,0.0516569810971,0.0516569810971,0.0137307254156,3.92523114671e-16
156.35,-1.21242231674,-1.21242231674,-2.39711830598,0.0518081746263,0.0518081746263,0.0137562492868,2.00455986091e-15
156.4,-1.20982814124,-1.20982814124,-2.39642986117,0.0519587380928,0.0519587380928,0.0137814964518,9.45320841934e-16
156.45,-1.20722645391,-1.20722645391,-2.39574016105,0.0521086431712,0.0521086431712,0.0138064606571,1.55629351283e-15
156.5,-1.20461728838,-1.20461728838,-2.39504921993,0.0522578611521,0.0522578611521,0.0138311356134,1.28517606588e-15
156.55,-1.20200067973,-1.20200067973,-2.39435705242,0.0524063629472,0.0524063629472,0.0138555149979,8.881784197e-16
156.6,-1.19937666451,-1.19937666451,-2.39366367346,0.0525541190943,0.0525541190943,0.0138795924566,1.15644530929e-15
156.65,-1.19674528074,-1.19674528074,-2.39296909831,0.0527010997635,0.0527010997635,0.013903361607,2.35513868803e-16
156.7,-1.19410656796,-1.19410656796,-2.39227334254,0.0528472747629,0.0528472747629,0.0139268160406,4.50974724488e-16
156.75,-1.1914605672,-1.1914605672,-2.39157642206,0.0529926135457,0.0529926135457,0.0139499493259,2.35513868803e-16
156.8,-1.18880732106,-1.18880732106,-2.39087835307,0.0531370852177,0.0531370852177,0.013972755011,4.96506830649e-16
