T_MeV,phi_u,phi_d,phi_s,dphi_u_dT_MeV,dphi_d_dT_MeV,dphi_s_dT_MeV,residual
257,-0.0446054340375,-0.0446054340375,-1.23592453133,0.000879357545727,0.000879357545727,0.014841785859,3.8267606695e-15
257.05,-0.0445614882215,-0.0445614882215,-1.23518242606,0.0008784753277,0.0008784753277,0.0148424236298,2.53460612699e-15
257.1,-0.0445175864815,-0.0445175864815,-1.23444028909,0.00087759450536,0.00087759450536,0.0148430537516,8.88666176748e-16
257.15,-0.0444737287477,-0.0444737287477,-1.23369812081,0.000876715076004,0.000876715076004,0.0148436762277,1.30040870024e-15
257.2,-0.0444299149507,-0.0444299149507,-1.2329559216,0.000875837036937,0.000875837036937,0.0148442910613,2.53420717238e-15
257.25,-0.0443861450209,-0.0443861450209,-1.23221369183,0.000874960385471,0.000874960385471,0.0148448982558,5.03556252511e-15
257.3,-0.0443424188891,-0.0443424188891,-1.2314714319,0.000874085118922,0.000874085118922,0.0148454978146,6.28138172687e-15
257.35,-0.044298736486,-0.044298736486,-1.23072914218,0.000873211234614,0.000873211234614,0.014846089741,3.84772772796e-15
257.4,-0.0442550977426,-0.0442550977426,-1.22998682305,0.000872338729875,0.000872338729875,0.0148466740385,8.88395233671e-16
257.45,-0.04421150259,-0.04421150259,-1.2292444749,0.000871467602043,0.000871467602043,0.0148472507103,1.30185189291e-15
257.5,-0.0441679509595,-0.0441679509595,-1.22850209811,0.000870597848457,0.000870597848457,0.01484781976,1.332412182e-15
257.55,-0.0441244427823,-0.0441244427823,-1.22775969305,0.000869729466466,0.000869729466466,0.014848381191,5.04435156603e-15
257.6,-0.04408097799,-0.04408097799,-1.22701726012,0.000868862453424,0.000868862453424,0.0148489350068,3.76986983093e-15
257.65,-0.0440375565142,-0.0440375565142,-1.22627479968,0.000867996806691,0.000867996806691,0.0148494812109,5.10220601003e-15
257.7,-0.0439941782866,-0.0439941782866,-1.22553231212,0.000867132523631,0.000867132523631,0.0148500198066,1.47757713334e-15
257.75,-0.0439508432392,-0.0439508432392,-1.22478979782,0.000866269601618,0.000866269601618,0.0148505507977,2.52262912895e-15
257.8,-0.0439075513038,-0.0439075513038,-1.22404725717,0.000865408038028,0.000865408038028,0.0148510741876,2.52468963319e-15
257.85,-0.0438643024128,-0.0438643024128,-1.22330469053,0.000864547830246,0.000864547830246,0.0148515899799,1.53887083916e-15
257.9,-0.0438210964983,-0.0438210964983,-1.2225620983,0.000863688975662,0.000863688975662,0.0148520981782,2.59987307946e-15
257.95,-0.0437779334927,-0.0437779334927,-1.22181948084,0.000862831471671,0.000862831471671,0.0148525987861,2.22261339584e-16
258,-0.0437348133286,-0.0437348133286,-1.22107683854,0.000861975315674,0.000861975315674,0.0148530918072,1.47822870859e-15
258.05,-0.0436917359387,-0.0436917359387,-1.22033417179,0.00086112050508,0.00086112050508,0.0148535772451,7.77403895378e-16
258.1,-0.0436487012557,-0.0436487012557,-1.21959148095,0.000860267037301,0.000860267037301,0.0148540551035,5.03533304046e-15
258.15,-0.0436057092126,-0.0436057092126,-1.2188487664,0.000859414909758,0.000859414909758,0.0148545253861,2.22261339584e-16
258.2,-0.0435627597425,-0.0435627597425,-1.21810602853,0.000858564119874,0.000858564119874,0.0148549880966,1.29951978505e-15
258.25,-0.0435198527784,-0.0435198527784,-1.21736326772,0.000857714665082,0.000857714665082,0.0148554432387,5.02920958702e-15
258.3,-0.0434769882537,-0.0434769882537,-1.21662048434,0.000856866542818,0.000856866542818,0.0148558908161,2.53413117391e-15
258.35,-0.0434341661019,-0.0434341661019,-1.21587767876,0.000856019750525,0.000856019750525,0.0148563308326,1.5384953369e-15
258.4,-0.0433913862566,-0.0433913862566,-1.21513485138,0.000855174285651,0.000855174285651,0.014856763292,1.47718605023e-15
258.45,-0.0433486486513,-0.0433486486513,-1.21439200256,0.000854330145651,0.000854330145651,0.014857188198,1.2564189106e-15
258.5,-0.04330595322,-0.04330595322,-1.21364913269,0.000853487327984,0.000853487327984,0.0148576055545,6.28430150169e-15
258.55,-0.0432632998965,-0.0432632998965,-1.21290624213,0.000852645830116,0.000852645830116,0.0148580153653,3.79431256182e-15
258.6,-0.043220688615,-0.043220688615,-1.21216333127,0.000851805649519,0.000851805649519,0.0148584176343,6.28430150169e-15
258.65,-0.0431781193096,-0.0431781193096,-1.21142040049,0.00085096678367,0.00085096678367,0.0148588123652,1.25622728693e-15
258.7,-0.0431355919148,-0.0431355919148,-1.21067745016,0.000850129230052,0.000850129230052,0.0148591995621,2.5990395701e-15
258.75,-0.0430931063648,-0.0430931063648,-1.20993448066,0.000849292986153,0.000849292986153,0.0148595792287,3.79441407713e-15
258.8,-0.0430506625944,-0.0430506625944,-1.20919149237,0.000848458049468,0.000848458049468,0.0148599513691,5.05547828934e-15
258.85,-0.0430082605381,-0.0430082605381,-1.20844848565,0.000847624417496,0.000847624417496,0.0148603159871,1.27570012268e-15
258.9,-0.0429659001309,-0.0429659001309,-1.20770546089,0.000846792087743,0.000846792087743,0.0148606730868,6.28049249701e-15
258.95,-0.0429235813077,-0.0429235813077,-1.20696241847,0.000845961057721,0.000845961057721,0.0148610226721,2.51216709999e-15
259,-0.0428813040035,-0.0428813040035,-1.20621935875,0.000845131324946,0.000845131324946,0.014861364747,5.02576186574e-15
259.05,-0.0428390681536,-0.0428390681536,-1.20547628212,0.00084430288694,0.00084430288694,0.0148616993155,7.55696200275e-15
259.1,-0.0427968736933,-0.0427968736933,-1.20473318894,0.000843475741231,0.000843475741231,0.0148620263816,2.57282358876e-15
259.15,-0.042754720558,-0.042754720558,-1.2039900796,0.000842649885353,0.000842649885353,0.0148623459495,1.11545822e-15
259.2,-0.0427126086833,-0.0427126086833,-1.20324695447,0.000841825316846,0.000841825316846,0.0148626580231,1.00493248148e-14
259.25,-0.0426705380049,-0.0426705380049,-1.20250381393,0.000841002033253,0.000841002033253,0.0148629626067,2.57279083876e-15
259.3,-0.0426285084586,-0.0426285084586,-1.20176065834,0.000840180032124,0.000840180032124,0.0148632597041,1.21381069671e-16
259.35,-0.0425865199803,-0.0425865199803,-1.20101748808,0.000839359311015,0.000839359311015,0.0148635493197,3.80909252041e-15
259.4,-0.0425445725062,-0.0425445725062,-1.20027430353,0.000838539867488,0.000838539867488,0.0148638314575,2.51460000664e-15
259.45,-0.0425026659723,-0.0425026659723,-1.19953110506,0.000837721699109,0.000837721699109,0.0148641061217,1.47196168002e-17
259.5,-0.0424608003151,-0.0424608003151,-1.19878789304,0.000836904803449,0.000836904803449,0.0148643733165,2.59900715045e-15
259.55,-0.0424189754708,-0.0424189754708,-1.19804466785,0.000836089178087,0.000836089178087,0.0148646330461,2.53430216727e-15
259.6,-0.0423771913761,-0.0423771913761,-1.19730142986,0.000835274820605,0.000835274820605,0.0148648853146,8.8177207524e-15
259.65,-0.0423354479677,-0.0423354479677,-1.19655817945,0.000834461728591,0.000834461728591,0.0148651301264,3.87149241194e-15
259.7,-0.0422937451822,-0.0422937451822,-1.19581491697,0.000833649899639,0.000833649899639,0.0148653674857,2.70373001489e-15
259.75,-0.0422520829567,-0.0422520829567,-1.19507164282,0.000832839331349,0.000832839331349,0.0148655973967,1.26112368469e-15
259.8,-0.0422104612281,-0.0422104612281,-1.19432835736,0.000832030021324,0.000832030021324,0.0148658198637,1.3010472329e-15
259.85,-0.0421688799336,-0.0421688799336,-1.19358506096,0.000831221967174,0.000831221967174,0.014866034891,2.53550354535e-15
259.9,-0.0421273390105,-0.0421273390105,-1.19284175399,0.000830415166515,0.000830415166515,0.014866242483,1.26100914294e-15
259.95,-0.0420858383961,-0.0420858383961,-1.19209843683,0.000829609616967,0.000829609616967,0.0148664426441,2.51322579959e-15
260,-0.042044378028,-0.042044378028,-1.19135510985,0.000828805316155,0.000828805316155,0.0148666353784,2.57291715789e-15
260.05,-0.0420029578437,-0.0420029578437,-1.19061177342,0.000828002261711,0.000828002261711,0.0148668206905,3.77487307986e-15
260.1,-0.0419615777811,-0.0419615777811,-1.18986842791,0.00082720045127,0.00082720045127,0.0148669985847,2.53417392333e-15
260.15,-0.0419202377779,-0.0419202377779,-1.18912507369,0.000826399882476,0.000826399882476,0.0148671690654,1.42320925961e-15
260.2,-0.0418789377722,-0.0418789377722,-1.18838171112,0.000825600552973,0.000825600552973,0.0148673321371,3.78294151764e-15
260.25,-0.041837677702,-0.041837677702,-1.1876383406,0.000824802460415,0.000824802460415,0.0148674878042,3.92838233308e-15
