T,sT3_target,sT3_pred,err
130,2.77,2.10034186431,0.295
135,3.13,2.65537730896,0.425
140,3.58,3.29595460129,0.485
145,4.11,4.02857277372,0.535
150,4.7,4.86703954762,0.59
155,5.34,5.82410026028,0.635
160,6,6.84530995775,0.67
165,6.66,7.71205823269,0.695
170,7.32,8.33009813372,0.705
175,7.94,8.80593584983,0.71
180,8.53,9.21491169406,0.705
185,9.08,9.58854885556,0.71
190,9.6,9.94014112182,0.685
195,10.07,10.275818341,0.675
200,10.5,10.5986627145,0.66
205,10.9,10.910337479,0.64
210,11.27,11.2117891445,0.63
215,11.61,11.503576005,0.61
220,11.92,11.7860340969,0.6
225,12.21,12.0593678724,0.585
230,12.49,12.3237041361,0.585
235,12.75,12.5791271272,0.585
240,13,12.8257032421,0.58
245,13.24,13.0634993922,0.575
250,13.47,13.2925967833,0.57
255,13.68,13.5131008526,0.57
260,13.89,13.7251476861,0.575
265,14.09,13.92890716,0.575
270,14.28,14.1245831477,0.57
275,14.46,14.3124112712,0.57
280,14.63,14.4926547921,0.57
285,14.8,14.6655992826,0.57
290,14.95,14.8315466918,0.565
295,15.11,14.9908093396,0.56
300,15.25,15.1437042458,0.56
305,15.39,15.2905480767,0.555
310,15.52,15.4316528631,0.555
315,15.64,15.5673225496,0.555
320,15.76,15.6978503538,0.55
325,15.88,15.8235168695,0.545
330,15.99,15.9445888175,0.54
335,16.09,16.0613183385,0.54
340,16.19,16.1739427213,0.535
345,16.29,16.2826844709,0.535
350,16.38,16.3877516285,0.53
355,16.47,16.4893382738,0.53
360,16.55,16.5876251489,0.53
365,16.63,16.6827803578,0.53
370,16.71,16.7749601064,0.53
375,16.78,16.8643094534,0.53
380,16.85,16.9509630555,0.53
385,16.92,17.0350458901,0.53
390,16.99,17.116673949,0.53
395,17.05,17.1959548942,0.53
400,17.12,17.2729886756,0.53
